vin_V,aout_V,aout_std_V,err_V
0.0,0.07703125000000002,4.635124054444571e-05,0.07703125000000002
0.05,0.07649999999999979,0.0,0.026499999999999788
0.1,0.10440000000000005,0.0,0.004400000000000043
0.15000000000000002,0.15422656249999994,4.416654382853874e-05,0.00422656249999992
0.2,0.20410312499999994,1.7399263633880538e-05,0.00410312499999993
0.25,0.2541000000000002,0.0,0.004100000000000215
0.30000000000000004,0.30399374999999984,2.420614591373994e-05,0.003993749999999796
0.35000000000000003,0.3538000000000001,0.0,0.003800000000000081
0.4,0.40379999999999994,0.0,0.0037999999999999146
0.45,0.45366562499999996,4.749588798000855e-05,0.00366562499999995
0.5,0.5036,0.0,0.0036000000000000476
0.55,0.5535000000000001,0.0,0.0035000000000000586
0.6000000000000001,0.6033265624999999,4.416654382844067e-05,0.003326562499999852
0.65,0.6532999999999999,1.1102230246251565e-16,0.0032999999999998586
0.7000000000000001,0.7031984375,1.2401959270613905e-05,0.0031984374999999288
0.75,0.7530749999999999,4.330127018931332e-05,0.003074999999999939
0.8,0.8029999999999999,0.0,0.0029999999999998916
0.8500000000000001,0.8529,0.0,0.0028999999999999027
0.9,0.9027890625000001,3.121091305536871e-05,0.0027890625000001057
0.9500000000000001,0.9527000000000001,0.0,0.0027000000000000357
1.0,1.0026,0.0,0.0025999999999999357
1.05,1.052453125,4.9902248195842355e-05,0.002453124999999945
1.1,1.1024,0.0,0.0023999999999999577
1.1500000000000001,1.1522937500000001,2.4206145913847436e-05,0.0022937499999999833
1.2000000000000002,1.202146875,4.9902248195842355e-05,0.0021468749999997705
1.25,1.2521000000000002,2.220446049250313e-16,0.002100000000000213
1.3,1.3019999999999998,2.220446049250313e-16,0.0019999999999997797
1.35,1.3519000000000003,2.220446049250313e-16,0.0019000000000002348
1.4000000000000001,1.4018,0.0,0.0017999999999998018
1.4500000000000002,1.4517000000000002,2.220446049250313e-16,0.0017000000000000348
1.5,1.5016,0.0,0.0016000000000000458
1.55,1.5514999999999999,0.0,0.0014999999999998348
1.6,1.6014,0.0,0.0013999999999998458
1.6500000000000001,1.6513078124999996,2.68368188083059e-05,0.00130781249999945
1.7000000000000002,1.7012,0.0,0.0011999999999998678
1.75,1.7511000000000005,4.440892098500626e-16,0.001100000000000545
1.8,1.8010140625000002,3.47634304081799e-05,0.0010140625000001346
1.85,1.8508999999999998,2.220446049250313e-16,0.0008999999999996788
1.9000000000000001,1.9008,0.0,0.0007999999999999119
1.9500000000000002,1.9506999999999997,2.220446049250313e-16,0.0006999999999994788
2.0,2.0006,0.0,0.0005999999999999339
2.0500000000000003,2.0505,0.0,0.0004999999999997229
2.1,2.1004109375,3.121091305529941e-05,0.00041093749999987494
2.15,2.1503,0.0,0.000300000000000189
2.2,2.2002,0.0,0.00019999999999997797
2.25,2.2500999999999998,0.0,9.999999999976694e-05
2.3000000000000003,2.3000000000000003,4.440892098500626e-16,0.0
2.35,2.3499,0.0,-0.00010000000000021103
2.4000000000000004,2.3997999999999995,4.440892098500626e-16,-0.00020000000000086615
2.45,2.4497,0.0,-0.000300000000000189
2.5,2.4996968750000006,1.739926363380327e-05,-0.00030312499999940457
2.5500000000000003,2.5494,0.0,-0.000600000000000378
2.6,2.5993,0.0,-0.000700000000000145
2.6500000000000004,2.6493,0.0,-0.000700000000000145
2.7,2.6991031250000006,1.739926363380327e-05,-0.0008968749999995751
2.75,2.7490015624999997,1.2401959270586366e-05,-0.000998437500000282
2.8000000000000003,2.7989984375,1.2401959270586364e-05,-0.0010015625000003858
2.85,2.8488015625000003,1.240195927064144e-05,-0.001198437499999816
2.9000000000000004,2.8987,0.0,-0.001300000000000523
2.95,2.9486859374999996,3.4763430408334284e-05,-0.0013140625000005457
3.0,2.9985046875,2.1137108216401925e-05,-0.0014953124999999012
3.0500000000000003,3.0484000000000004,4.440892098500626e-16,-0.0015999999999998238
3.1,3.098375,4.330127018912101e-05,-0.0016250000000002096
3.1500000000000004,3.1482031249999993,1.7399263633803272e-05,-0.0017968750000010303
3.2,3.1981,0.0,-0.0019000000000000128
3.25,3.2480890625,3.121091305529941e-05,-0.0019109374999999318
3.3000000000000003,3.2979203124999996,4.02324787173554e-05,-0.0020796875000006487
3.35,3.3478,0.0,-0.002200000000000202
3.4000000000000004,3.397790625,2.914805954096406e-05,-0.002209375000000513
3.45,3.4476000000000004,4.440892098500626e-16,-0.0023999999999997357
3.5,3.4974999999999996,4.440892098500626e-16,-0.002500000000000391
3.5500000000000003,3.5474921875,2.6836818808365493e-05,-0.002507812500000206
3.6,3.597303125,1.7399263633880538e-05,-0.002696875000000265
3.6500000000000004,3.6473000000000004,4.440892098500626e-16,-0.0026999999999999247
3.7,3.6971999999999996,4.440892098500626e-16,-0.00280000000000058
3.75,3.7470156249999995,3.630921887077116e-05,-0.002984375000000483
3.8000000000000003,3.7969984375,1.2401959270586366e-05,-0.0030015625000001656
3.85,3.8468796874999995,4.02324787173554e-05,-0.003120312500000555
3.9000000000000004,3.8967031249999993,1.739926363380327e-05,-0.003296875000001087
3.95,3.9467,0.0,-0.0033000000000003027
4.0,3.9966000000000004,4.440892098500626e-16,-0.0033999999999996255
4.05,4.046471875000001,4.4960920530951964e-05,-0.003528124999998994
4.1000000000000005,4.0964,0.0,-0.0036000000000004917
4.15,4.1462875,3.307189138823031e-05,-0.0037125000000006736
4.2,4.1961,8.881784197001252e-16,-0.0038999999999997925
4.25,4.246099999999999,8.881784197001252e-16,-0.0039000000000006807
4.3,4.2959953125000006,2.113710821649579e-05,-0.004004687499999271
4.3500000000000005,4.345803125000001,1.739926363380327e-05,-0.004196874999999878
4.4,4.3958,8.881784197001252e-16,-0.0041999999999999815
4.45,4.445664062500001,4.798172666526461e-05,-0.004335937499999609
4.5,4.4956,0.0,-0.004400000000000404
4.55,4.5455000000000005,0.0,-0.004499999999999282
4.6000000000000005,4.595389062499999,3.121091305529941e-05,-0.004610937500001633
4.65,4.6453,8.881784197001252e-16,-0.004700000000000593
4.7,4.6952,0.0,-0.0048000000000003595
4.75,4.74504375,4.960783708234546e-05,-0.004956250000000217
