vin_V,aout_V,aout_std_V,residual_V
2.3227272727272728,0.5549015625,5.992752784613436e-05,0.002187407178216194
2.3262727272727273,0.592321875,7.173900177029833e-05,0.0010872722772287124
2.329818181818182,0.6306953125000001,7.165387179873024e-05,0.0009402623762377882
2.3333636363636363,0.66841875,9.499177595988585e-05,0.00014325247524660245
2.336909090909091,0.706959375,5.2197790901525704e-05,0.00016343007425911882
2.3404545454545453,0.7447328124999999,8.111467095259989e-05,-0.0005835798267319614
2.344,0.7833468750000001,4.9902248195842355e-05,-0.0004899647277227803
2.3475454545454544,0.821240625,7.008644216251042e-05,-0.0011166621287104217
2.351090909090909,0.8600000000000001,6.12372435695727e-05,-0.0008777345297013017
2.354636363636364,0.8979281249999999,5.144399260360161e-05,-0.0014700569306961286
2.3581818181818184,0.936715625,5.6509816625072296e-05,-0.0012030043316869632
2.361727272727273,0.9747453125000001,5.57048233437741e-05,-0.0016937642326744218
2.3652727272727274,1.0136687500000001,7.680128579651972e-05,-0.0012907741336654066
2.368818181818182,1.0515890625000004,6.873224202476063e-05,-0.001890909034656163
2.3723636363636365,1.0906437500000001,5.266343608234644e-05,-0.001356668935643901
2.375909090909091,1.1286859375000002,6.341132464906496e-05,-0.0018349288366348304
2.3794545454545455,1.16766875,5.2663436082346435e-05,-0.0013725637376260647
2.383,1.2057296875,8.038906855878215e-05,-0.001832073638613485
2.3865454545454545,1.243875,5.590169943748859e-05,-0.0022072085396045438
2.390090909090909,1.2828484374999998,6.844748785564717e-05,-0.0017542184405958672
2.3936363636363636,1.3210093749999998,6.051536478448423e-05,-0.0021137283415832986
2.397181818181818,1.3600249999999998,6.614378277660748e-05,-0.0016185507425743317
2.4007272727272726,1.3982828125000002,5.464283890638683e-05,-0.0018811856435649865
2.404272727272727,1.4373375000000002,6.959705453536761e-05,-0.0013469455445525025
2.4078181818181816,1.475590625,7.84991042942443e-05,-0.001614267945543757
2.411363636363636,1.5146015624999998,7.393448852699799e-05,-0.0011237778465349457
2.414909090909091,1.5528296874999996,5.499911220873783e-05,-0.0014161002475296947
2.4184545454545456,1.5918859374999998,5.264025164971192e-05,-0.0008802976485204894
2.422,1.63035,6.123724356950473e-05,-0.0009366825495078501
2.4255454545454547,1.6693578125,6.073684914242084e-05,-0.0004493174504989206
2.429090909090909,1.7076234374999997,6.553192804846393e-05,-0.0007041398514902042
2.4326363636363637,1.7467125000000001,6.249999999996674e-05,-0.00013552475247724516
2.4361818181818182,1.785009375,4.58214946831319e-05,-0.00035909715346837956
2.4397272727272727,1.8240218749999997,8.563868503780477e-05,0.0001329554455402615
2.4432727272727273,1.8623718749999998,5.439654745486906e-05,-3.7491955447110925e-05
2.446818181818182,1.900565625,8.143008887995233e-05,-0.00036418935643789396
2.4503636363636363,1.9397046875,0.00010958684840685653,0.00025442574257095174
2.453909090909091,1.9780109375,6.873224202475108e-05,4.0228341583459226e-05
2.4574545454545453,2.01704375,6.817945071651087e-05,0.0005525934405925526
2.461,2.0552578125,5.535309244965345e-05,0.0002462085396013336
2.4645454545454544,2.0943578125,6.073684914235453e-05,0.0008257611386142116
2.468090909090909,2.1325984375,5.15151297557322e-05,0.0005459387376229863
2.471636363636364,2.1715765625,7.01386740232819e-05,0.0010036163366282658
2.4751818181818184,2.2099531250000006,6.366108996075605e-05,0.0008597314356380004
2.478727272727273,2.2489625,7.180703308175248e-05,0.0013486590346500904
2.4822727272727274,2.2872109375000003,8.681371489432687e-05,0.0010766491336591244
2.485818181818182,2.3262515625,5.300998579266893e-05,0.001596826732667811
2.4893636363636364,2.3645078124999994,7.56321019392273e-05,0.0013326293316797688
2.492909090909091,2.4035875000000004,5.994789404137346e-05,0.001891869430689752
2.4964545454545455,2.4417953125000005,4.8184824828477714e-05,0.0015792345296987698
2.5,2.4808578125,6.0736849142487156e-05,0.002121287128710847
2.5035454545454545,2.518975,5.590169943755065e-05,0.0017180272277199649
2.507090909090909,2.5571578125000003,7.027776920010634e-05,0.0013803923267290408
2.5106363636363636,2.5961609374999997,7.829668635232062e-05,0.0018630699257409233
2.514181818181818,2.6343984375,5.992752784613065e-05,0.0015801225247500383
2.5177272727272726,2.6734234375000003,6.310256408206753e-05,0.0020846751237595385
2.521272727272727,2.7115703125,6.29476158702006e-05,0.0017111027227718623
2.5248181818181816,2.7505625,6.4951905283775e-05,0.002182842821780717
2.528363636363636,2.7888109375,7.096915593231986e-05,0.0019108329207897512
2.5319090909090907,2.8277171875000002,5.4642838906339906e-05,0.0022966355198024146
2.5354545454545456,2.8658796874999997,8.135510029339486e-05,0.0019386881188072635
2.539,2.9048546875000003,7.691246546408608e-05,0.00239324071781688
2.5425454545454547,2.9429500000000006,6.614378277665993e-05,0.00196810581682616
2.546090909090909,2.9818171875,5.170435033684088e-05,0.002314845915837971
2.5496363636363637,3.0199484375,5.300998579288491e-05,0.0019256485148471114
2.553181818181818,3.0589500000000003,7.905694150428416e-05,0.0024067636138562776
2.5567272727272727,3.097079687500001,8.51096489462693e-05,0.002016003712869363
2.5602727272727273,3.1351453125,6.356514252137535e-05,0.0015611813118776574
2.5638181818181818,3.1739984375,7.393448852696682e-05,0.0018938589108863368
2.5673636363636363,3.2120999999999995,3.952847075218816e-05,0.0014749740098984887
2.570909090909091,3.25101875,5.829611908184331e-05,0.0018732766089080144
2.5744545454545453,3.2890078125000004,7.96568568532987e-05,0.0013418917079173198
2.578,3.3278296875,7.432968682669912e-05,0.0016433193069294028
2.5815454545454544,3.366090625,7.441175562367874e-05,0.0013838094059384076
2.585090909090909,3.4049609375000007,5.482126497773309e-05,0.0017336745049481017
2.588636363636364,3.4429265625000003,8.147504890306565e-05,0.0011788521039530764
2.5921818181818184,3.4818109374999997,5.6228294423293394e-05,0.0015427797029650137
2.595727272727273,3.5197343750000005,5.6509816624996314e-05,0.0009457698019748051
2.5992727272727274,3.5585859375,6.341132464909342e-05,0.0012768849009834327
2.602818181818182,3.5966125,5.44862367943734e-05,0.0007829999999957593
2.6063636363636364,3.6353406250000004,6.547602137417236e-05,0.0009906775990051742
2.609909090909091,3.6732734375000002,7.340424779098581e-05,0.00040304269801394454
2.6134545454545455,3.7120625,6.250000000011386e-05,0.0006716577970262705
2.617,3.7500328124999998,7.300403991374366e-05,0.00012152289603495348
2.6205454545454545,3.787890625,7.008644216266604e-05,-0.0005411120049556573
2.624090909090909,3.8265749999999996,6.373774391976126e-05,-0.00037718440594369795
2.6276363636363635,3.86450625,5.555121510833966e-05,-0.0009663818069345353
2.631181818181818,3.9032859375,5.827517562174524e-05,-0.0007071417079251852
2.6347272727272726,3.941125,7.288689868566533e-05,-0.0013885266089128656
2.638272727272727,3.9798140625,7.041658962010931e-05,-0.0012199115099038593
2.6418181818181816,4.01773125,7.043392293511178e-05,-0.0018231714108951635
2.645363636363636,4.056489062499999,5.622829442313952e-05,-0.001585806311883431
2.6489090909090907,4.0943078125,7.965685685343155e-05,-0.002287503712873118
2.652454545454545,4.1329625,6.249999999989043e-05,-0.0021532636138648087
